date,TSMC,ASML,AM,SUMCO
2021-08-03,166,160,14,6
2021-08-04,89,78,5,0
2021-08-05,158,180,2,16
2021-08-06,22,91,2,0
2021-08-07,55,19,0,0
2021-08-08,6,15,0,0
2021-08-09,93,189,5,0
2021-08-10,113,119,2,0
2021-08-11,84,117,0,0
2021-08-12,34,52,13,0
2021-08-13,100,43,3,0
2021-08-14,38,47,1,0
2021-08-15,47,36,0,0
2021-08-16,68,127,0,0
2021-08-17,167,67,4,0
2021-08-18,128,118,0,2
2021-08-19,46,56,1,0
2021-08-20,73,75,2,11
2021-08-21,55,48,0,0
2021-08-22,88,43,10,0
2021-08-23,170,93,2,1
2021-08-24,162,124,3,15
2021-08-25,88,121,3,0
2021-08-26,165,50,3,4
2021-08-27,270,84,4,2
2021-08-28,25,12,0,0
2021-08-29,66,73,4,0
2021-08-30,55,224,41,0
2021-09-01,103,81,3,0
2021-09-02,130,82,1,6
2021-09-03,193,119,8,0
2021-09-04,27,39,0,0
2021-09-05,61,59,15,2
2021-09-06,355,157,4,0
2021-09-07,153,175,13,0
2021-09-08,189,89,0,0
2021-09-09,101,67,1,0
2021-09-10,112,90,1,1
2021-09-11,66,11,0,1
2021-09-12,55,50,2,0
2021-09-13,122,185,5,0
2021-09-14,103,34,3,0
2021-09-15,71,159,12,0
2021-09-16,228,48,7,0
2021-09-17,155,78,1,0
2021-09-18,28,53,1,0
2021-09-19,38,19,0,0
2021-09-20,104,138,1,0
2021-09-21,41,52,0,0
2021-09-22,68,72,6,0
2021-09-23,79,131,3,0
2021-09-24,111,99,0,0
2021-09-25,34,34,0,0
2021-09-26,80,78,0,1
2021-09-27,153,89,6,1
2021-09-28,61,50,8,0
2021-09-29,98,178,16,0
2021-09-30,197,542,6,10
2021-10-01,212,318,5,17
2021-10-02,40,78,0,36
2021-10-03,60,47,4,0
2021-10-04,175,215,0,16
2021-10-05,187,76,3,0
2021-10-06,142,402,10,7
2021-10-07,254,138,3,0
2021-10-08,58,90,1,0
2021-10-09,52,32,0,0
2021-10-10,55,22,0,0
2021-10-11,174,180,1,13
2021-10-12,157,550,12,0
2021-10-13,118,152,1,0
2021-10-14,222,195,2,1
2021-10-15,412,130,168,1
2021-10-16,120,45,0,1
2021-10-17,19,57,0,0
2021-10-18,146,53,5,1
2021-10-19,160,174,4,0
2021-10-20,169,326,8,10
2021-10-21,214,199,22,1
2021-10-22,163,153,6,1
2021-10-23,126,235,0,0
2021-10-24,102,182,3,0
2021-10-25,161,273,4,1
2021-10-26,116,111,16,0
2021-10-27,168,108,0,0
2021-10-28,150,57,1,0
2021-10-29,77,86,2,0
2021-10-30,66,4,0,0
2021-10-31,78,24,1,0
2021-11-01,77,52,0,0
2021-11-02,196,138,2,0
2021-11-03,197,127,7,0
2021-11-04,82,84,0,8
2021-11-05,56,52,1,6
2021-11-06,28,63,0,27
2021-11-07,47,28,0,6
2021-11-08,183,65,1,0
2021-11-09,122,67,2,0
2021-11-10,211,176,1,20
2021-11-11,181,116,2,46
2021-11-12,173,73,0,1
2021-11-13,40,19,0,0
2021-11-14,63,46,10,0
2021-11-15,104,67,0,0
2021-11-16,142,124,0,7
2021-11-17,98,151,7,7
2021-11-18,167,285,11,0
2021-11-19,69,136,15,0
2021-11-20,161,96,1,12
2021-11-21,28,25,0,0
2021-11-22,97,127,2,0
2021-11-23,161,90,0,0
2021-11-24,146,285,7,0
2021-11-25,138,90,1,0
2021-11-26,251,174,2,9
2021-11-27,83,30,0,1
2021-11-28,68,264,3,0
2021-11-29,72,106,1,0
2021-11-30,73,54,4,0
2021-12-01,24,9,2,0
2021-12-02,170,72,14,0
2021-12-03,288,56,71,5
2021-12-04,19,3,0,0
2021-12-05,47,17,1,2
2021-12-06,148,78,3,3
2021-12-07,176,83,0,0
2021-12-08,192,35,0,0
2021-12-09,137,25,2,0
